observation_date,ATNHPIUS12021A
1975-01-01,24.15
1976-01-01,28.63
1977-01-01,32.80
1978-01-01,34.35
1979-01-01,37.15
1980-01-01,39.86
1981-01-01,41.67
1982-01-01,47.00
1983-01-01,47.86
1984-01-01,49.55
1985-01-01,49.67
1986-01-01,51.71
1987-01-01,52.71
1988-01-01,58.20
1989-01-01,64.83
1990-01-01,67.68
1991-01-01,69.55
1992-01-01,70.06
1993-01-01,70.85
1994-01-01,71.16
1995-01-01,73.33
1996-01-01,75.04
1997-01-01,79.09
1998-01-01,84.22
1999-01-01,88.10
2000-01-01,100.00
2001-01-01,113.02
2002-01-01,125.59
2003-01-01,135.15
2004-01-01,158.67
2005-01-01,217.63
2006-01-01,263.83
2007-01-01,241.22
2008-01-01,179.10
2009-01-01,136.20
2010-01-01,128.62
2011-01-01,120.92
2012-01-01,123.77
2013-01-01,134.95
2014-01-01,153.50
2015-01-01,176.10
2016-01-01,193.37
2017-01-01,201.72
2018-01-01,213.51
2019-01-01,221.20
2020-01-01,229.89
2021-01-01,271.32
2022-01-01,346.62
2023-01-01,384.80
2024-01-01,397.34
