original_address,clean_address,latitude,longitude
"100 Bay Rd, Naples, FL 34102","100 Bay Rd, Naples, FL 34102",26.095308,-81.8005453
"2200 Gordon Dr, Naples, FL 34102","2200 Gordon Dr, Naples, FL 34102",26.120757,-81.802393
"20 14th Ave S, Naples, FL 34102","20 14th Ave South, Naples, FL 34102",26.129475,-81.8051649
"25 16th Ave S, Naples, FL 34102","25 16th Ave South, Naples, FL 34102",26.1274517,-81.804868
"2170 Gordon Dr, Naples, FL 34102","2170 Gordon Dr, Naples, FL 34102",26.1213354,-81.8024076
"2340 Gordon Dr, Naples, FL 34102","2340 Gordon Dr, Naples, FL 34102",26.1197512,-81.8023681
"3035 Fort Charles Dr, Naples, FL 34102","3035 Fort Charles Dr, Naples, FL 34102",26.1119875,-81.8002566
"860 Admiralty Parade E, Naples, FL 34102","860 Admiralty Parade East, Naples, FL 34102",26.099707994274,-81.791816582283
"71 18th Ave S, Naples, FL 34102","71 18th Ave South, Naples, FL 34102",26.1252959,-81.80427
"40 32nd Ave S, Naples, FL 34102","40 32nd Ave South, Naples, FL 34102",26.1096365,-81.8026476
"3880 Rum Row, Naples, FL 34102","3880 Rum Row, Naples, FL 34102",26.1028154,-81.7927748
"30 3rd Ave S, Naples, FL 34102","30 3rd Ave South, Naples, FL 34102",26.142603,-81.8069576
"7409 Bay Colony Dr, Naples, FL 34108","7409 Bay Colony Dr, Naples, FL 34108",26.248299190981,-81.820810387085
"1880 Gulf Shore Blvd S, Naples, FL 34102","1880 Gulf Shore Blvd South, Naples, FL 34102",26.124576,-81.803985
"3401 Rum Row, Naples, FL 34102","3401 Rum Row, Naples, FL 34102",26.1076282,-81.792504
"2999 Rum Row, Naples, FL 34102","2999 Rum Row, Naples, FL 34102",26.1119138,-81.7941374
"3565 Fort Charles Dr, Naples, FL 34102","3565 Fort Charles Dr, Naples, FL 34102",26.106921,-81.7967417
"3200 Gin Ln, Naples, FL 34102","3200 Gin Ln, Naples, FL 34102",26.1108817,-81.7958854
"4115 Cutlass Ln, Naples, FL 34102","4115 Cutlass Ln, Naples, FL 34102",26.1007943,-81.7999385
"3131 Gin Ln, Naples, FL 34102","3131 Gin Ln, Naples, FL 34102",26.111555,-81.7955142
"3455 Gin Ln, Naples, FL 34102","3455 Gin Ln, Naples, FL 34102",26.1081442,-81.7945858
"81 Seagate Dr, Naples, FL 34103","81 Seagate Dr, Naples, FL 34103",26.2077224,-81.815189
"3440 Rum Row, Naples, FL 34102","3440 Rum Row, Naples, FL 34102",26.107272,-81.7925481
"899 Nelsons Walk, Naples, FL 34102","899 Nelsons Walk, Naples, FL 34102",26.102139,-81.7911075
"3525 Fort Charles Dr, Naples, FL 34102","3525 Fort Charles Dr, Naples, FL 34102",26.1074578,-81.7967384
"700 Admiralty Parade W, Naples, FL 34102","700 Admiralty Parade West, Naples, FL 34102",26.099815768087,-81.793580954795
"55 13th Ave S, Naples, FL 34102","55 13th Ave South, Naples, FL 34102",26.1307666,-81.8050356
"3240 Gin Ln, Naples, FL 34102","3240 Gin Ln, Naples, FL 34102",26.1104342,-81.7957833
"616 Bougainvillea Rd, Naples, FL 34102","616 Bougainvillea Rd, Naples, FL 34102",26.1541944,-81.8021094
"1270 Gulf Shore Blvd S, Naples, FL 34102","1270 Gulf Shore Blvd South, Naples, FL 34102",26.1310709,-81.8046974
"3300 Gin Ln, Naples, FL 34102","3300 Gin Ln, Naples, FL 34102",26.1098222,-81.7954556
"3950 Gordon Dr, Naples, FL 34102","3950 Gordon Dr, Naples, FL 34102",26.1012239,-81.8016362
"23 6th Ave N, Naples, FL 34102","23 6th Ave North, Naples, FL 34102",26.1526782,-81.8083219
"3163 Gin Ln, Naples, FL 34102","3163 Gin Ln, Naples, FL 34102",26.1112242,-81.7956596
"275 Spring Line Dr, Naples, FL 34102","275 Spring Line Dr, Naples, FL 34102",26.170237,-81.808813
"225 4th Ave N, Naples, FL 34102","225 4th Ave North, Naples, FL 34102",26.1507505,-81.8056148
"27804 Hickory Blvd, Bonita Springs, FL 34134","27804 Hickory Blvd, Bonita Springs, FL 34134",26.3336574,-81.846368
"970 Aqua Cir, Naples, FL 34102","970 Aqua Cir, Naples, FL 34102",26.1283172,-81.7923228
"2021 Gordon Dr E, Naples, FL 34102","2021 Gordon Dr East, Naples, FL 34102",26.1231243,-81.8020161
"1910 4th St S, Naples, FL 34102","1910 4th St South, Naples, FL 34102",26.1248118,-81.7997876
"701 Kings Town Dr, Naples, FL 34102","701 Kings Town Dr, Naples, FL 34102",26.112773102332,-81.79597235174
"625 21st Ave S, Naples, FL 34102","625 21st Ave South, Naples, FL 34102",26.1224558,-81.796269
"1935 5th St S, Naples, FL 34102","1935 5th St South, Naples, FL 34102",26.1247607,-81.7978779
"1990 7th St S, Naples, FL 34102","1990 7th St South, Naples, FL 34102",26.1245548,-81.7951376
"1365 Spyglass Ln, Naples, FL 34102","1365 Spyglass Ln, Naples, FL 34102",26.1118597,-81.7912352
"27566 Hickory Blvd, Bonita Springs, FL 34134","27566 Hickory Blvd, Bonita Springs, FL 34134",26.3372966,-81.847924
"2060 Gordon Dr, Naples, FL 34102","2060 Gordon Dr, Naples, FL 34102",26.1229407,-81.8024859
"960 17th Ave S, Naples, FL 34102","960 17th Ave South, Naples, FL 34102",26.1277718,-81.7924897
"395 21st Ave S, Naples, FL 34102","395 21st Ave South, Naples, FL 34102",26.1224031,-81.7996051
