observation_date,ATNHPIUS12071A
1975-01-01,38.29
1976-01-01,39.27
1977-01-01,44.29
1978-01-01,44.24
1979-01-01,47.12
1980-01-01,53.25
1981-01-01,58.83
1982-01-01,61.11
1983-01-01,60.54
1984-01-01,62.87
1985-01-01,62.07
1986-01-01,64.78
1987-01-01,65.53
1988-01-01,70.33
1989-01-01,75.59
1990-01-01,78.83
1991-01-01,81.46
1992-01-01,82.58
1993-01-01,83.08
1994-01-01,82.49
1995-01-01,84.18
1996-01-01,84.67
1997-01-01,87.60
1998-01-01,90.30
1999-01-01,92.74
2000-01-01,100.00
2001-01-01,110.76
2002-01-01,123.61
2003-01-01,135.39
2004-01-01,158.03
2005-01-01,214.85
2006-01-01,250.76
2007-01-01,222.76
2008-01-01,158.63
2009-01-01,120.21
2010-01-01,112.94
2011-01-01,109.98
2012-01-01,117.10
2013-01-01,128.74
2014-01-01,143.25
2015-01-01,158.87
2016-01-01,175.68
2017-01-01,187.96
2018-01-01,198.24
2019-01-01,205.60
2020-01-01,214.79
2021-01-01,255.71
2022-01-01,331.19
2023-01-01,353.71
2024-01-01,343.49
